metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
mla-share,national,IN,2024,muslim,6.0,all_state_assembly_seats (aggregate ~6% across 28 assemblies),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"India (all-states aggregate), 2024. Across 28 state assemblies, Muslims ≈6% of seats (India Forum, Clarion India, multiple compilations). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S19,2026,muslim,13.65,assembly_seats (40/293 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"West Bengal, 2026. The Wire, Deccan Herald (2026 WB assembly). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S32,2026,muslim,25.0,assembly_seats (35/140 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Kerala, 2026. The Wire (2026 Kerala assembly). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S07,2025,muslim,5.71,assembly_seats (4/70 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Delhi, 2025. Maktoob, The Print (2025 Delhi assembly). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S01,2024,muslim,60.0,assembly_seats (54/90 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Jammu & Kashmir, 2024. Clarion India (2024 J&K assembly — first since 2019 Article 370 reorg). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S20,2024,muslim,3.7,assembly_seats (3/81 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Jharkhand, 2024. oneindia, ZeeNews, Outlook (2024 Jharkhand — Hafizul Hassan JMM, Irfan Ansari INC, Nishant Alam INC). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S21,2024,muslim,0.68,assembly_seats (1/147 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Odisha, 2024. Deccan Herald, Clarion India (2024 Odisha — Sofia Firdous INC, first Muslim woman MLA in state history). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S28,2024,muslim,1.71,assembly_seats (3/175 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Andhra Pradesh, 2024. Radiance Weekly (2024 AP — all three from TDP, down from 4 in 2019). Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S12,2024,muslim,0.0,assembly_seats (0/60 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Arunachal Pradesh, 2024. Clarion India — no Muslim MLA in state history. Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
mla-share,state,IN-S11,2024,muslim,0.0,assembly_seats (0/32 Muslim MLAs / total seats),,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-mla-share-v1.1.0-20260530T233620Z,"Sikkim, 2024. Clarion India — no Muslim MLA in state history. Religion is derived from ECI candidate affidavits; manual entry with cross-source verification.",false
